Episode,Blue_Score,Red_Score,Blue_Patched,Red_Infected
1,16,31,5,3
2,37,14,6,2
3,47,10,7,1
4,70,3,7,1
5,65,11,7,1
6,46,-4,7,0
7,64,6,7,1
8,27,-2,7,0
9,16,13,6,1
10,57,26,7,2
11,104,3,7,1
12,74,41,7,4
13,64,-2,7,0
14,23,-2,7,0
15,82,-2,7,0
16,74,-1,7,1
17,49,-2,7,0
18,93,-4,7,0
19,27,0,6,0
20,62,-1,7,1
21,75,13,7,1
22,56,6,7,1
23,68,15,7,1
24,51,18,7,2
25,28,7,6,2
26,56,-2,6,0
27,47,28,7,2
28,-1,1,5,1
29,60,-6,7,0
30,35,6,5,1
31,54,33,7,3
32,70,13,7,1
33,82,26,7,2
34,79,18,7,2
35,36,16,7,2
36,77,8,7,1
37,30,43,6,3
38,10,18,6,2
39,69,-2,7,0
40,36,8,7,1
41,31,-2,6,0
42,56,21,7,2
43,27,16,7,2
44,52,19,7,2
45,29,15,6,3
46,72,-4,7,0
47,47,14,7,3
48,69,18,7,2
49,52,9,7,1
50,35,15,7,1
51,55,-4,7,0
52,39,10,7,2
53,34,11,6,1
54,94,-6,7,0
55,65,-2,7,0
56,61,10,7,1
57,64,37,6,4
58,39,22,5,3
59,77,0,7,0
60,73,0,7,0
61,60,0,7,0
62,60,-4,6,0
63,59,5,6,1
64,48,-2,7,0
65,65,14,7,2
66,62,11,7,1
67,18,19,6,2
68,86,23,7,2
69,41,-1,7,1
70,52,13,6,1
71,54,11,7,1
72,52,19,6,2
73,25,9,6,1
74,44,12,6,2
75,61,-4,7,0
76,47,1,7,1
77,47,3,7,1
78,52,29,7,3
79,34,13,6,1
80,25,21,6,2
81,51,4,7,1
82,80,-2,7,0
83,49,5,6,1
84,70,20,7,2
85,24,6,7,1
86,70,0,7,0
87,11,26,7,3
88,66,6,7,1
89,39,1,6,1
90,72,15,7,1
91,60,9,7,1
92,19,13,6,1
93,78,24,7,3
94,26,16,6,2
95,49,45,7,5
96,46,-2,6,0
97,63,14,6,2
98,31,10,7,1
99,70,10,7,2
100,69,-2,7,0
101,42,25,7,2
102,65,18,7,2
103,42,9,6,2
104,55,8,7,1
105,45,7,7,2
106,32,13,7,1
107,49,1,7,1
108,63,4,7,1
109,57,10,7,2
110,49,23,6,2
111,58,4,6,1
112,51,6,7,1
113,17,-2,7,0
114,35,18,6,2
115,36,30,7,3
116,44,-2,7,0
117,50,8,7,1
118,67,6,7,1
119,66,6,7,1
120,80,14,7,2
121,76,8,7,2
122,71,-2,7,0
123,22,20,7,3
124,71,27,7,3
125,77,-4,7,0
126,77,12,7,2
127,45,-4,7,0
128,38,11,6,1
129,53,13,7,1
130,71,8,7,1
131,36,16,7,2
132,77,21,7,2
133,28,-1,7,1
134,79,21,7,2
135,74,0,7,0
136,62,15,7,2
137,72,8,7,1
138,52,-4,6,0
139,33,2,6,2
140,16,7,5,2
141,40,11,5,1
142,90,-4,7,0
143,71,16,7,2
144,44,20,7,3
145,6,10,6,2
146,66,0,7,0
147,86,1,7,1
148,15,-1,6,1
149,26,-2,7,0
150,71,-3,6,1
151,31,14,6,2
152,35,18,7,2
153,31,-3,6,1
154,36,11,5,1
155,23,36,6,3
156,20,-2,7,0
157,59,21,7,2
158,58,37,7,4
159,55,14,7,2
160,31,11,6,1
161,61,1,7,1
162,9,13,6,1
163,60,-2,7,0
164,78,28,7,3
165,79,-1,7,1
166,32,38,6,3
167,35,12,7,2
168,25,19,6,2
169,62,19,7,2
170,85,16,7,2
171,0,11,7,1
172,38,9,7,1
173,46,40,7,5
174,7,12,7,3
175,91,0,7,0
176,64,-2,7,0
177,54,28,7,2
178,22,6,7,1
179,69,36,7,3
180,56,-4,7,0
181,59,2,7,2
182,26,8,7,1
183,64,27,7,3
184,48,-2,6,0
185,52,0,6,0
186,47,26,7,2
187,70,13,7,1
188,93,20,7,3
189,45,22,7,3
190,46,28,7,2
191,45,12,7,2
192,45,-4,6,0
193,80,23,7,2
194,84,-4,7,0
195,96,14,7,2
196,65,46,7,4
197,70,0,7,0
198,26,-4,6,0
199,52,7,7,2
200,68,-2,7,0
201,73,5,7,1
202,21,8,7,1
203,16,35,7,4
204,61,22,7,3
205,51,3,6,1
206,70,12,7,2
207,45,27,7,3
208,62,15,7,1
209,59,10,7,1
210,31,-2,6,0
211,25,15,6,1
212,80,-6,7,0
213,68,8,7,1
214,70,18,7,2
215,52,6,7,2
216,48,-4,7,0
217,48,-4,7,0
218,70,-1,7,1
219,39,23,7,4
220,69,22,7,3
221,62,26,7,3
222,49,7,6,2
223,30,8,6,1
224,12,31,5,3
225,57,21,7,2
226,86,-4,7,0
227,24,-4,6,0
228,55,13,7,1
229,94,0,7,0
230,21,14,7,2
231,65,-2,6,0
232,60,14,7,2
233,49,16,7,2
234,49,-2,6,0
235,62,9,7,1
236,74,16,7,2
237,96,9,7,2
238,43,20,7,3
239,72,21,7,3
240,65,11,7,1
241,30,0,6,0
242,18,11,6,1
243,60,0,7,0
244,70,13,7,1
245,63,0,7,0
246,87,6,7,1
247,47,21,7,3
248,13,15,7,1
249,45,36,6,3
250,73,13,7,1
251,48,-2,7,0
252,63,-1,7,1
253,67,-4,7,0
254,3,22,6,3
255,71,13,7,1
256,80,26,7,2
257,34,16,5,2
258,49,28,6,2
259,79,10,6,1
260,59,22,7,3
261,63,-3,7,1
262,60,11,7,1
263,28,1,7,1
264,73,11,7,1
265,84,25,7,3
266,61,15,7,1
267,57,-2,7,0
268,79,12,7,2
269,80,-2,7,0
270,67,3,7,1
271,34,1,7,1
272,29,22,7,3
273,29,30,6,2
274,27,18,6,2
275,34,23,7,2
276,42,7,7,2
277,34,4,6,1
278,32,13,6,1
279,41,11,7,1
280,86,7,7,2
281,60,0,7,0
282,76,44,7,4
283,66,13,7,1
284,62,26,6,2
285,63,-3,7,1
286,41,23,6,2
287,74,0,6,0
288,5,35,6,3
289,22,-2,7,0
290,18,0,7,0
291,45,32,7,4
292,42,47,7,6
