Episode,RL_Team,Random_Agent,Greedy_Agent,Q_States
1,35,29,30,26
2,32,26,48,48
3,71,29,57,71
4,98,34,54,95
5,73,-11,71,120
6,70,24,70,145
7,109,46,20,172
8,79,7,51,198
9,33,51,78,216
10,99,35,89,240
11,75,10,68,261
12,101,3,71,282
13,118,22,55,302
14,108,43,56,321
15,90,12,34,345
16,67,37,67,364
17,81,29,51,385
18,84,36,45,409
19,37,39,52,427
20,97,21,58,444
21,41,9,65,463
22,92,30,49,480
23,106,26,64,502
24,89,52,71,520
25,105,45,67,542
26,78,39,71,561
27,98,16,43,576
28,77,49,74,592
29,98,46,51,608
30,83,35,37,628
31,99,7,29,647
32,108,26,38,664
33,20,11,56,689
34,21,17,56,713
35,53,31,89,734
36,86,14,39,756
37,102,20,55,770
38,95,58,56,786
39,95,48,82,798
40,67,39,42,816
41,41,36,23,835
42,96,15,55,850
43,69,18,61,868
44,120,53,34,883
45,79,32,47,897
46,83,15,43,919
47,65,26,58,931
48,56,11,37,948
49,112,43,92,957
50,60,15,90,973
51,48,-4,56,990
52,100,53,58,1007
53,98,57,67,1024
54,54,-2,45,1038
55,76,14,64,1056
56,69,51,49,1071
57,81,-7,35,1089
58,74,32,46,1111
59,86,30,64,1125
60,54,46,39,1144
61,76,35,58,1163
62,55,43,31,1186
63,62,52,39,1189
64,61,3,32,1194
65,11,27,60,1212
66,31,52,34,1234
67,76,26,40,1255
68,94,25,58,1266
69,75,3,49,1289
70,81,9,61,1303
71,80,49,46,1317
72,60,27,52,1332
73,55,47,68,1339
74,80,24,29,1350
75,71,28,52,1360
76,48,51,62,1376
77,88,14,48,1386
78,48,41,52,1404
79,67,43,30,1421
80,89,37,79,1433
81,96,37,16,1444
82,98,12,45,1455
83,71,51,64,1472
84,31,25,48,1492
85,87,15,70,1509
86,66,31,45,1524
87,91,32,56,1535
88,67,3,51,1549
89,21,38,27,1568
90,60,61,67,1585
91,46,25,60,1599
92,97,37,50,1618
93,91,17,41,1631
94,41,1,58,1638
95,83,22,35,1649
96,101,39,46,1657
97,109,7,61,1665
98,17,25,68,1682
99,34,56,39,1697
100,82,25,53,1711
101,73,25,80,1719
102,72,-3,70,1733
103,81,-9,29,1746
104,57,22,52,1760
105,24,20,45,1772
106,102,5,40,1778
107,53,23,80,1787
108,70,5,49,1801
109,77,36,73,1809
110,48,3,50,1828
111,12,40,60,1842
112,68,11,50,1854
113,81,43,37,1865
114,71,18,58,1873
115,46,24,22,1879
116,60,47,20,1891
117,104,21,74,1905
118,87,-24,62,1916
119,104,56,57,1923
120,98,37,56,1934
121,60,61,55,1955
122,25,51,55,1969
123,77,42,51,1984
124,41,33,55,1990
125,55,49,61,2004
126,43,50,59,2027
127,87,24,65,2038
128,51,28,49,2057
129,67,-12,32,2073
130,81,39,65,2090
131,89,33,54,2098
132,97,26,69,2106
133,80,45,51,2114
134,98,37,68,2123
135,56,26,67,2134
136,17,2,67,2147
137,53,61,59,2161
138,64,33,40,2172
139,38,50,63,2193
140,52,32,51,2214
141,103,34,71,2228
142,118,44,76,2239
143,97,26,58,2250
144,63,60,55,2258
145,47,29,48,2265
146,112,27,101,2272
147,43,28,33,2286
148,48,22,54,2300
149,118,58,51,2306
150,98,48,41,2311
151,87,66,75,2316
152,101,28,58,2335
153,41,12,66,2342
154,82,41,46,2350
155,76,7,58,2360
156,60,20,58,2376
157,92,49,38,2393
158,62,67,53,2402
159,59,4,47,2405
160,75,51,48,2416
161,68,-1,80,2423
162,71,66,46,2429
163,70,28,84,2438
164,73,26,66,2450
165,121,35,43,2456
166,94,-17,48,2466
167,97,24,65,2474
168,129,26,27,2487
169,62,19,68,2495
170,98,11,59,2504
171,91,-4,45,2509
172,60,18,69,2523
173,63,63,59,2540
174,64,40,49,2551
175,77,3,67,2564
